SPECIMEN #,SPECIES,SUBSPECIES,SEX,SKULL LENGTH,CRANIAL WIDTH,NEUROCR HT,FACIAL HEIGHT,PALATE LENGTH,PALATE WIDTH,COMMENTS
USNM 339041,Ateles fusciceps,rufiventris,M,116.96,48.05,55.88,41.07,34.72,34.08,
USNM 338116,Ateles fusciceps,rufiventris,F,110.89,46.36,57.30,40.82,33.56,32.71,
USNM 406472,Ateles belzebuth,,F,119.96,48.13,60.26,42.44,35.17,29.60,
USNM 406674,Ateles belzebuth,,M,119.40,46.71,55.51,40.95,35.40,31.60,
USNM 406476,Ateles belzebuth,,F,118.59,50.08,55.46,41.71,37.31,30.67,
USNM 406474,Ateles belzebuth,,F,124.83,52.30,56.14,42.43,34.94,32.78,
USNM 406480,Ateles belzebuth,,M,124.33,52.19,59.75,41.15,35.58,33.23,"this specimen is labelled with # ""406480?"" on both the box and the specimen itself"
USNM 406668,Ateles belzebuth,,M,117.84,48.28,59.58,39.08,36.54,31.64,
USNM 406473,Ateles belzebuth,,M,114.50,48.79,53.87,39.99,33.93,31.48,
USNM 406475,Ateles belzebuth,,F,111.98,44.23,55.59,36.79,32.35,30.24,
USNM 406482,Ateles belzebuth,,F,117.97,44.57,53.72,40.15,33.82,32.09,
USNM 406471,Ateles belzebuth,,F,119.08,46.05,54.87,39.98,33.09,29.71,
USNM 406679,Ateles belzebuth,,?,120.01,48.57,53.85,40.21,35.54,32.37,
USNM 545854,Ateles chamek,,M,115.05,47.77,58.18,38.91,29.91,28.46,frontonasal suture partially obliterated; left maxillary M2 missing premortem (may affect palate length)
USNM 545851,Ateles chamek,,M,113.40,46.09,55.04,41.92,32.08,30.15,frontonasal suture partially obliterated
USNM 545853,Ateles chamek,,M,118.12,46.24,57.77,37.77,33.81,29.68,
USNM 545855,Ateles chamek,,F,110.70,47.62,52.91,39.46,30.25,29.10,
USNM 545852,Ateles chamek,,F,113.12,46.62,55.23,42.23,31.41,30.12,
USNM 545889,Lagothrix lagotricha,,M,111.62,44.25,53.44,32.77,32.56,31.96,
USNM 545883,Lagothrix lagotricha,,M,110.21,42.73,52.64,32.31,31.13,31.03,
USNM 545881,Lagothrix lagotricha,,F,100.85,44.30,49.77,30.56,26.91,30.14,frontonasal suture partially obliterated
USNM 545890,Lagothrix lagotricha,,F,103.27,44.24,55.05,27.26,27.56,28.58,
USNM 545888,Lagothrix lagotricha,,M,108.41,41.37,51.89,32.00,31.72,30.39,
USNM 545884,Lagothrix lagotricha,,F,103.91,41.48,50.46,28.12,30.76,31.56,
USNM 545887,Lagothrix lagotricha,,F,102.91,40.36,50.90,29.81,28.35,31.47,
USNM 545885,Lagothrix lagotricha,,F,103.81,41.27,53.96,30.20,30.24,30.66,
USNM 545882,Lagothrix lagotricha,,F,108.44,44.03,51.17,32.36,31.76,30.96,frontonasal suture partially obliterated
USNM 545886,Lagothrix lagotricha,,M,112.02,46.25,52.40,31.74,32.84,33.58,
USNM 545880,Lagothrix lagotricha,,M,105.37,43.87,54.55,30.95,29.06,29.53,
USNM 545879,Lagothrix lagotricha,,M,99.47,42.98,49.32,31.84,27.26,29.57,
USNM 220088,Cercocebus torquatus,,M,134.52,66.16,60.27,64.50,50.70,39.94,
USNM 220368,Cercocebus torquatus,,M,141.62,69.08,64.18,61.14,57.51,41.18,
USNM 220371,Cercocebus torquatus,,F,123.65,60.14,55.20,58.99,47.64,39.44,
USNM 218844,Cercocebus torquatus,,M,143.31,140.74,142.53,73.41,58.71,44.34,
USNM 598488,Cercocebus torquatus,,F,127.58,63.75,54.45,51.91,47.71,44.38,
USNM 220354,Cercocebus torquatus,,M,144.02,68.33,62.91,74.20,60.32,41.68,
USNM 220090,Cercocebus torquatus,,M,137.93,69.69,61.91,68.56,54.95,39.83,
USNM 220093,Cercocebus torquatus,,F,114.58,56.64,53.98,51.55,44.21,35.02,
USNM 220367,Cercocebus torquatus,,F,111.13,57.94,53.25,49.33,40.02,36.79,
USNM 220092,Cercocebus torquatus,,M,138.73,68.02,61.65,66.80,56.16,43.46,
USNM 220366,Cercocebus torquatus,,F,121.99,60.47,55.88,59.49,46.66,39.26,
USNM 270954,Cercocebus atys,,F,129.96,65.50,55.66,58.44,54.84,40.76,
USNM 481748,Cercocebus atys,,M,132.00,66.53,60.44,61.31,54.45,39.95,
USNM 481746,Cercocebus atys,,F,108.18,54.95,58.39,44.47,40.43,35.71,
USNM 481747,Cercocebus atys,,F,115.35,56.52,56.05,42.62,41.26,36.77,
USNM 481745,Cercocebus atys,,F,116.54,58.51,57.96,51.73,42.74,38.99,
USNM 477291,Cercocebus atys,,M,134.74,69.84,65.80,66.94,55.69,42.35,
USNM 452571,Cercopithecus albogularis,kolbi,M,108.45,55.06,55.89,46.12,38.98,35.59,
USNM 452575,Cercopithecus albogularis,kolbi,M,112.96,58.77,50.31,42.43,39.46,34.54,
USNM 164832,Cercopithecus albogularis,kolbi,F,97.82,50.09,49.57,44.36,36.12,30.89,
USNM 182186,Cercopithecus albogularis,kolbi,F,97.43,51.95,51.23,42.28,30.74,31.21,
USNM 164526,Cercopithecus albogularis,kolbi,F,97.00,48.29,48.81,38.19,33.59,30.12,
USNM 182185,Cercopithecus albogularis,kolbi,M,115.40,59.96,55.69,50.61,41.39,34.83,
USNM 162844,Cercopithecus albogularis,kolbi,F,102.24,32.69,49.64,41.55,37.35,34.00,
USNM 452570,Cercopithecus albogularis,kolbi,M,106.50,57.29,53.52,42.56,37.81,30.70,
USNM 317971,Cercopithecus albogularis,kolbi,F,89.07,48.99,45.18,32.76,28.22,28.00,
USNM 452588,Cercopithecus albogularis,kolbi,F,100.50,51.19,50.45,41.05,35.18,31.87,
USNM 452586,Cercopithecus albogularis,kolbi,M,123.20,57.98,54.63,53.02,46.33,35.32,
USNM 452587,Cercopithecus albogularis,kolbi,M,113.67,56.75,50.54,47.30,39.52,31.88,
USNM 452578,Cercopithecus albogularis,kolbi,F,99.53,51.33,49.17,41.51,33.92,30.56,
USNM 452560,Cercopithecus albogularis,albogularis,M,106.56,53.37,54.33,46.44,37.70,30.09,
USNM 425421,Cercopithecus albogularis,erythrarchus,F,105.47,54.11,52.02,42.46,33.58,34.16,
USNM 425432,Cercopithecus albogularis,erythrarchus,F,105.24,53.32,51.98,45.81,37.66,31.95,
USNM 425423,Cercopithecus albogularis,erythrarchus,F,107.13,57.90,51.89,44.84,35.13,32.74,
USNM 425427,Cercopithecus albogularis,erythrarchus,F,103.05,53.44,48.81,41.08,31.79,30.30,
USNM 470262,Cercopithecus albogularis,albogularis,M,124.26,58.19,57.32,52.22,44.96,35.26,
USNM 425430,Cercopithecus albogularis,erythrarchus,M,126.63,65.47,55.85,56.69,44.47,36.92,
USNM 382456,Cercopithecus albogularis,erythrarchus,M,108.24,57.59,54.20,44.81,40.91,32.43,
USNM 365744,Cercopithecus albogularis,erythrarchus,M,116.86,58.72,54.36,48.80,41.81,34.52,
USNM 452568,Cercopithecus albogularis,kolbi,F,94.98,48.72,47.43,38.95,31.26,29.76,
USNM 282554,Cercopithecus diana,,M,116.27,58.84,55.00,51.03,45.09,34.60,frontonasal suture partially obliterated
USNM 477295,Cercopithecus diana,,F,100.37,53.59,48.56,41.37,37.21,31.81,
USNM 314971,Cercopithecus diana,,F,97.11,47.47,50.46,39.40,37.54,31.31,
USNM 481750,Cercopithecus diana,,F,96.70,49.47,50.84,37.05,36.22,31.99,
USNM 481752,Cercopithecus diana,,F,96.20,49.26,46.92,39.84,35.98,31.75,
USNM 481751,Cercopithecus diana,,F,98.10,49.35,48.68,39.75,33.34,32.21,
USNM 270417,Cercopithecus diana,,F,110.39,52.88,58.26,58.27,40.46,32.78,sagittal suture is open
USNM 452520,Cercopithecus neglectus,,F,102.46,56.85,45.75,45.81,35.67,30.75,
USNM 452524,Cercopithecus neglectus,,M,111.22,62.07,50.73,49.41,37.00,31.85,
USNM 481010,Cercopithecus neglectus,,M,107.26,56.66,48.99,47.76,34.49,30.56,
USNM 452588,Cercopithecus nictitans,martini,?,100.31,51.15,50.66,41.17,35.90,31.94,
USNM 480876,Cercopithecus nictitans,martini,?,109.11,61.28,54.11,48.09,40.79,31.44,
USNM 480826,Cercopithecus nictitans,martini,M,114.53,61.36,54.78,52.08,43.34,36.48,
USNM 480873,Cercopithecus nictitans,martini,?,111.48,55.44,55.73,46.17,39.61,33.51,
USNM 480836,Cercopithecus nictitans,martini,M,105.00,55.15,51.58,43.96,38.70,30.97,
USNM 480859,Cercopithecus nictitans,martini,?,103.07,53.29,49.17,42.62,36.58,32.53,
USNM 480883,Cercopithecus nictitans,martini,?,124.78,62.35,58.82,49.81,46.56,36.01,frontonasal suture partially obliterated
USNM 480845,Cercopithecus nictitans,martini,?,114.18,58.10,58.93,45.95,41.17,33.78,"listed in database as unknown sex, but box says male and canines are very large--VERY likely male"
USNM 480831,Cercopithecus nictitans,martini,?,114.10,57.56,55.45,46.57,40.22,31.82,"listed in database as unknown sex, but box says male and canines are very large--VERY likely male"
USNM 480841,Cercopithecus nictitans,martini,?,103.38,53.89,53.60,39.86,36.62,32.81,
USNM 598506,Cercopithecus nictitans,nictitans,M,103.48,57.02,55.77,44.24,37.81,32.54,
USNM 220077,Cercopithecus nictitans,nictitans,M,105.23,59.07,51.87,41.26,34.26,33.07,
USNM 220072,Cercopithecus nictitans,nictitans,M,111.73,54.83,53.37,44.68,37.97,34.17,
USNM 220365,Cercopithecus nictitans,nictitans,F,98.67,55.41,51.01,39.59,33.74,30.60,
USNM 537777,Cercopithecus nictitans,nictitans,M,115.18,61.47,55.90,48.29,41.87,34.13,
USNM 220081,Cercopithecus nictitans,nictitans,F,97.63,50.61,48.77,39.52,32.20,29.87,
USNM 220364,Cercopithecus nictitans,nictitans,M,105.70,58.33,56.09,41.71,38.17,32.41,
USNM 220361,Cercopithecus nictitans,nictitans,M,114.46,62.42,52.06,47.02,38.24,34.83,
USNM 219061,Cercopithecus nictitans,nictitans,F,101.22,55.25,48.14,41.00,34.97,31.88,
USNM 480853,Cercopithecus nictitans,martini,?,101.98,53.47,48.90,40.94,34.83,32.28,
USNM 480858,Cercopithecus nictitans,martini,?,100.59,53.40,50.37,39.46,34.66,30.49,
USNM 480881,Cercopithecus nictitans,martini,?,102.18,51.62,52.14,43.47,34.68,31.32,
USNM 480874,Cercopithecus nictitans,martini,?,99.89,50.60,50.01,37.89,34.81,29.45,
USNM 480837,Cercopithecus nictitans,martini,?,111.87,59.97,54.33,48.82,42.32,33.34,
USNM 480877,Cercopithecus nictitans,martini,?,93.39,50.02,49.28,34.32,30.65,29.55,
USNM 480850,Cercopithecus nictitans,martini,?,106.11,57.31,55.02,42.13,37.74,33.18,
USNM 480872,Cercopithecus nictitans,martini,?,112.45,59.61,54.99,47.49,41.84,34.64,
USNM 480888,Cercopithecus nictitans,martini,?,99.94,53.31,50.85,41.47,36.34,30.60,
USNM 480961,Cercopithecus mona,,?,107.19,57.85,50.37,43.26,41.16,33.50,
USNM 480973,Cercopithecus mona,,?,89.74,48.48,48.46,34.04,31.62,30.50,
USNM 480981,Cercopithecus mona,,?,98.94,50.99,50.26,40.35,36.30,28.73,
USNM 480997,Cercopithecus mona,,?,110.84,59.16,51.73,43.79,39.37,32.97,
USNM 481006,Cercopithecus mona,,?,108.07,56.09,51.92,42.79,39.59,31.07,
USNM 480915,Cercopithecus mona,,M,103.83,59.71,53.94,41.48,37.92,33.00,
USNM 14263,Cercopithecus mona,,M?,94.46,52.04,44.20,39.09,35.80,31.92,
USNM 480906,Cercopithecus mona,,?,105.06,54.80,49.35,38.14,37.53,31.97,
USNM 480917,Cercopithecus mona,,?,91.17,49.80,47.81,32.83,32.17,30.75,
USNM 480967,Cercopithecus mona,,?,114.47,61.98,55.34,49.28,42.79,34.15,
USNM 480925,Cercopithecus mona,,?,103.23,56.28,52.61,41.20,36.87,34.01,
USNM 481003,Cercopithecus mona,,?,114.54,61.51,54.75,48.93,42.22,33.47,
USNM 480969,Cercopithecus mona,,?,109.34,60.30,49.35,40.36,37.59,34.62,
USNM 480988,Cercopithecus mona,,?,102.32,57.39,51.85,42.67,36.45,32.60,
USNM 480998,Cercopithecus mona,,?,90.51,48.27,47.59,34.20,31.44,28.42,
USNM 480932,Cercopithecus mona,,?,98.03,53.17,51.18,40.63,36.36,31.86,
USNM 480962,Cercopithecus mona,,?,101.33,56.37,51.30,36.19,35.57,31.47,
USNM 480945,Cercopithecus mona,,?,92.83,53.12,49.95,34.56,31.79,30.25,
USNM 480942,Cercopithecus mona,,?,92.02,46.46,48.16,34.03,33.50,30.08,
USNM 452530,Cercopithecus mitis,stuhlmanni,M,121.06,59.03,54.74,53.28,43.76,35.17,
USNM 452544,Cercopithecus mitis,stuhlmanni,F,102.90,52.56,49.61,43.25,34.79,31.98,
USNM 452552,Cercopithecus mitis,stuhlmanni,F,97.49,51.54,49.36,39.76,32.93,30.27,
USNM 452551,Cercopithecus mitis,stuhlmanni,M,108.10,55.58,52.84,44.85,36.90,31.32,
USNM 452537,Cercopithecus mitis,stuhlmanni,F,102.26,51.35,47.19,46.11,36.32,33.72,
USNM 452547,Cercopithecus mitis,stuhlmanni,M,115.22,63.41,53.16,47.62,43.03,34.65,
USNM 236992,Cercopithecus mitis,stuhlmanni,M,110.84,55.06,54.35,47.21,40.05,33.83,
USNM 236996,Cercopithecus mitis,stuhlmanni,F,96.63,48.92,44.87,44.08,33.32,30.03,
USNM 236991,Cercopithecus mitis,stuhlmanni,F,96.29,47.76,46.83,49.64,33.57,29.09,
USNM 236997,Cercopithecus mitis,stuhlmanni,F,93.92,50.09,52.25,41.23,33.01,29.69,
USNM 452536,Cercopithecus mitis,stuhlmanni,M,114.56,57.22,50.08,48.08,41.31,34.58,
USNM 236994,Cercopithecus mitis,stuhlmanni,F,103.58,50.33,50.18,46.83,36.70,32.68,
USNM 236988,Cercopithecus mitis,stuhlmanni,F,100.30,51.11,51.43,43.99,36.67,31.86,
USNM 236993,Cercopithecus mitis,stuhlmanni,F,98.30,50.50,47.88,43.44,34.67,32.57,
USNM 236995,Cercopithecus mitis,stuhlmanni,F,93.95,51.39,48.91,39.55,32.03,30.33,
USNM 259446,Cercopithecus mitis,stuhlmanni,M,109.43,56.40,55.05,47.76,39.15,33.25,
USNM 340810,Cercopithecus mitis,stuhlmanni,M,117.96,57.02,52.70,52.90,42.47,35.86,
USNM 236985,Cercopithecus mitis,stuhlmanni,F,101.95,48.68,47.73,48.04,36.47,31.04,
USNM 452545,Cercopithecus mitis,stuhlmanni,M,119.60,56.73,54.80,51.77,41.28,31.96,
USNM 452553,Cercopithecus mitis,stuhlmanni,M,116.69,60.45,56.94,50.57,39.73,34.37,
USNM 452535,Cercopithecus mitis,stuhlmanni,F,102.06,53.26,49.17,43.10,33.38,30.36,
USNM 452554,Cercopithecus mitis,stuhlmanni,F,99.14,51.24,47.56,40.11,32.62,30.97,
USNM 452538,Cercopithecus mitis,stuhlmanni,M,114.89,57.11,53.54,50.92,42.19,34.45,
USNM 477318,Cercopithecus petaurista,,F,86.11,46.93,47.56,30.77,27.33,28.65,
USNM 450066,Cercopithecus petaurista,,M,98.55,52.54,46.90,40.99,35.34,30.70,
USNM 477312,Cercopithecus petaurista,,F,88.91,44.49,43.91,34.45,30.48,29.23,
USNM 481782,Cercopithecus petaurista,,M,99.27,53.25,45.44,39.20,34.57,31.15,
USNM 481777,Cercopithecus petaurista,,M,99.20,52.10,50.45,39.21,35.92,30.85,
USNM 269071,Cercopithecus petaurista,,F,91.30,46.59,50.61,33.61,32.31,29.52,
USNM 477319,Cercopithecus petaurista,,F,87.17,46.69,47.07,34.07,30.17,30.88,
USNM 429487,Cercopithecus petaurista,,M,87.95,49.08,45.08,35.96,29.86,28.65,
USNM 481780,Cercopithecus petaurista,,M,97.84,54.06,49.41,43.48,34.79,28.52,
USNM 537778,Cercopithecus pogonias,grayi,M,98.39,51.42,48.32,40.98,33.39,30.83,
USNM 537779,Cercopithecus pogonias,grayi,F,90.61,52.66,46.37,33.21,30.51,29.98,
USNM 220378,Cercopithecus pogonias,nigripes,M,94.89,52.79,52.87,39.36,33.32,31.43,
USNM 220358,Cercopithecus pogonias,nigripes,M,100.18,57.17,50.33,40.50,34.86,31.45,
USNM 598517,Cercopithecus pogonias,pogonias,F,90.62,47.86,48.49,34.64,32.18,30.47,
USNM 598511,Cercopithecus pogonias,pogonias,F,86.97,50.00,48.09,32.12,28.83,29.03,
USNM 220337,Cercopithecus cephus,cephodes,M,109.46,57.77,57.16,47.81,38.26,31.59,
USNM 220085,Cercopithecus cephus,cephodes,F,96.41,52.57,48.37,35.27,31.09,30.10,
USNM 220373,Cercopithecus cephus,cephodes,M,98.19,51.86,52.47,38.85,35.02,31.55,
USNM 220344,Cercopithecus cephus,cephodes,F,84.14,47.57,46.25,31.54,28.06,27.26,
USNM 220334,Cercopithecus cephus,cephodes,M,98.24,53.23,48.96,39.07,35.37,32.18,
USNM 481009,Cercopithecus cephus,,M,105.05,59.57,51.26,41.30,36.07,33.88,
USNM 220074,Cercopithecus cephus,cephodes,F,89.39,47.46,45.95,32.81,29.57,30.65,
USNM 220331,Cercopithecus cephus,cephodes,F,87.67,50.30,45.33,32.57,29.47,28.92,
USNM 220070,Cercopithecus cephus,cephodes,M,100.29,58.58,50.93,39.60,33.28,32.68,
USNM 220332,Cercopithecus cephus,cephodes,F,92.00,49.40,44.92,36.07,31.94,30.62,
USNM 220073,Cercopithecus cephus,cephodes,F,95.94,50.78,47.18,38.96,30.84,29.15,
USNM 220335,Cercopithecus cephus,cephodes,F,92.96,48.21,44.59,31.79,32.72,28.93,
USNM 218840,Cercopithecus cephus,cephodes,M,98.35,56.07,53.50,38.54,32.26,32.17,
USNM 220333,Cercopithecus cephus,cephodes,F,92.98,51.63,50.81,40.16,31.72,31.36,
USNM 84532,Cercopithecus cephus,cephus,F,87.74,48.91,45.82,32.53,30.38,29.71,
USNM 220084,Cercopithecus cephus,cephodes,M,88.44,47.14,47.08,32.27,28.97,28.96,
USNM 598502,Cercopithecus cephus,,M,96.93,53.47,50.48,37.25,32.39,32.90,
USNM 297834,Cercopithecus cephus,,F,94.11,54.52,51.61,35.35,32.53,30.67,
USNM 220098,Cercopithecus cephus,cephodes,F,90.01,51.19,46.62,34.50,30.71,29.96,
USNM 220336,Cercopithecus cephus,cephodes,F,92.76,47.26,45.14,33.62,32.49,29.50,
USNM 598501,Cercopithecus cephus,,F,89.69,49.89,47.27,35.19,29.66,30.87,
USNM 220329,Cercopithecus cephus,cephodes,M,92.71,52.25,46.98,34.91,30.18,29.19,
USNM 164582,Cercopithecus ascanius,schmidti,M,96.80,50.35,48.22,36.25,31.10,29.92,
USNM 537774,Cercopithecus ascanius,,F,88.50,45.21,45.73,35.49,28.35,29.05,
USNM 236978,Cercopithecus ascanius,schmidti,M,97.30,53.36,51.83,39.75,32.63,30.39,
USNM 236979,Cercopithecus ascanius,schmidti,M,90.74,48.59,45.70,31.32,31.15,28.37,frontonasal suture partially obliterated
USNM 452516,Cercopithecus ascanius,schmidti,M,97.17,54.99,46.40,40.31,32.90,29.76,
USNM 537773,Cercopithecus ascanius,,M,94.24,52.49,50.37,39.94,31.71,30.91,
USNM 182364,Cercopithecus ascanius,schmidti,M,91.23,49.51,49.55,34.77,30.74,31.28,
USNM 236980,Cercopithecus ascanius,schmidti,M,95.27,50.01,46.65,36.67,31.48,29.35,
USNM 182359,Cercopithecus ascanius,schmidti,M,100.37,55.29,48.48,37.02,35.10,32.49,
USNM 450064,Cercopithecus lowei,,F,86.08,46.96,43.12,37.42,29.68,26.98,
USNM 477298,Cercopithecus lowei,,F,84.76,46.38,45.13,34.14,28.20,27.21,
USNM 477304,Cercopithecus lowei,,M,102.88,55.71,46.84,40.75,36.49,30.25,
USNM 477309,Cercopithecus lowei,,F,81.07,43.30,43.35,31.96,27.36,27.73,
USNM 439814,Cercopithecus lowei,,?,96.61,51.86,45.00,36.15,32.35,30.15,canines are very large; this is very likely a male
USNM 395340,Miopithecus ogouensis,,F,69.22,37.16,39.61,21.60,18.23,20.69,
USNM 598521,Miopithecus ogouensis,,M,70.42,40.26,39.11,23.31,20.17,21.49,
USNM 598522,Miopithecus ogouensis,,M,70.96,38.70,38.91,21.11,19.44,20.69,
USNM 598523,Miopithecus ogouensis,,M,73.45,41.81,39.45,27.62,21.45,22.16,
USNM 220346,Miopithecus ogouensis,,F,69.04,38.20,37.87,22.53,18.96,20.51,
USNM 598520,Miopithecus ogouensis,,F,71.58,40.42,40.85,23.67,19.72,21.90,
USNM 397614,Miopithecus ogouensis,,M,73.50,40.64,38.99,23.48,21.92,22.56,
USNM 397656,Miopithecus ogouensis,,F,68.74,39.51,38.24,21.87,19.86,22.35,
USNM 395343,Miopithecus ogouensis,,M,70.88,38.66,39.46,23.08,18.92,21.59,
USNM 220330,Miopithecus ogouensis,,F,65.38,36.44,36.96,19.47,18.54,20.45,
USNM 397255,Miopithecus ogouensis,,?,70.65,37.77,37.88,24.80,21.18,21.67,
USNM 397649,Miopithecus ogouensis,,F,67.63,37.25,39.01,21.80,20.34,22.08,
USNM 397321,Miopithecus ogouensis,,F,67.88,36.14,35.88,23.83,19.76,20.45,
USNM 397254,Miopithecus ogouensis,,F,66.06,36.09,37.92,20.32,17.11,21.08,
USNM 598538,Miopithecus ogouensis,,F,69.85,38.00,36.25,24.88,19.32,21.76,
USNM 396196,Miopithecus ogouensis,,F,72.18,40.36,37.41,23.84,22.57,21.88,
USNM 397648,Miopithecus ogouensis,,F,69.48,36.13,35.80,24.77,20.79,21.31,
USNM 395342,Miopithecus ogouensis,,M,75.29,44.48,40.74,24.74,22.04,22.62,frontonasal suture partially obliterated
USNM 598508,Miopithecus ogouensis,,F,69.06,37.87,35.32,23.90,20.34,21.79,
USNM 598539,Miopithecus ogouensis,,F,72.04,39.29,37.98,25.86,19.84,22.40,
USNM 598533,Miopithecus ogouensis,,F,68.57,35.67,40.00,21.58,19.59,20.64,
USNM 598549,Miopithecus ogouensis,,M,70.14,37.70,38.23,24.91,19.62,22.39,
USNM 598543,Miopithecus ogouensis,,F,69.45,37.89,36.74,23.45,20.39,22.65,
USNM 598546,Miopithecus ogouensis,,M,70.11,38.31,36.21,23.04,19.80,21.21,
USNM 598548,Miopithecus ogouensis,,M,70.67,37.98,36.91,22.40,19.80,21.40,
USNM 598547,Miopithecus ogouensis,,M,74.48,41.07,40.34,24.99,21.56,22.52,
USNM 598545,Miopithecus ogouensis,,M,72.72,38.74,39.11,25.17,21.21,22.81,
USNM 410881,Erythrocebus patas,,F,113.58,56.74,58.02,47.55,38.22,32.61,
USNM 379735,Erythrocebus patas,,M,133.75,66.88,68.79,67.31,47.35,35.43,
USNM 410883,Erythrocebus patas,,F,109.64,53.32,59.86,51.70,39.26,29.87,
USNM 379733,Erythrocebus patas,,M,139.17,64.02,66.11,60.75,47.46,37.05,
USNM 410530,Erythrocebus patas,,M,115.94,59.20,63.50,48.72,37.85,35.24,bold denotes datum measured with spreading calipers (here and below)
USNM 173010,Erythrocebus patas,,M,129.63,61.17,66.00,51.76,45.85,37.78,
USNM 173009,Erythrocebus patas,,F,146.76,61.75,66.50,67.01,54.81,37.14,box and specimen are labelled male and labelled male in database but canines are HUGE and there is no way the specimen is female
USNM 164684,Erythrocebus patas,,M,145.30,68.60,69.50,67.88,51.08,40.86,
USNM 257013,Erythrocebus patas,,F,111.77,52.63,59.32,42.60,37.78,32.79,
USNM 60629,Chlorocebus aethiops,,F,107.22,50.08,46.36,49.12,44.09,33.36,
USNM 398810,Chlorocebus aethiops,,F,91.12,44.34,46.47,33.17,33.12,28.84,
USNM 252703,Chlorocebus aethiops,,M,95.66,45.23,48.76,36.02,35.72,31.84,
USNM 342067,Chlorocebus aethiops,,F,89.12,44.95,48.05,37.65,33.28,30.09,
USNM 342069,Chlorocebus aethiops,,M,101.29,49.57,49.91,45.82,39.62,32.08,
USNM 367894,Chlorocebus pygerythrus,pygerythrus,F,88.01,47.45,48.65,34.88,31.32,30.00,
USNM 469930,Chlorocebus pygerythrus,pygerythrus,M,112.69,60.17,55.42,50.93,41.07,32.84,
USNM 367901,Chlorocebus pygerythrus,pygerythrus,F,97.34,50.36,49.46,43.50,32.93,31.52,
USNM 384044,Chlorocebus pygerythrus,pygerythrus,F,93.39,44.88,51.02,37.68,35.36,28.82,
USNM 367911,Chlorocebus pygerythrus,pygerythrus,F,90.35,48.10,48.68,35.72,32.89,31.17,
USNM 367897,Chlorocebus pygerythrus,pygerythrus,F,91.56,45.83,46.62,35.76,32.22,29.29,
USNM 367907,Chlorocebus pygerythrus,pygerythrus,M,105.46,53.69,49.52,43.58,37.11,33.38,
USNM 367903,Chlorocebus pygerythrus,pygerythrus,F,94.27,49.07,48.38,36.71,32.95,31.58,
USNM 367913,Chlorocebus pygerythrus,pygerythrus,F,95.67,48.62,49.35,37.73,33.26,31.71,
USNM 367916,Chlorocebus pygerythrus,pygerythrus,F,94.14,48.82,48.21,35.02,33.35,31.23,
USNM 367896,Chlorocebus pygerythrus,pygerythrus,M,107.54,59.73,50.90,45.77,39.78,32.91,
USNM 469926,Chlorocebus pygerythrus,pygerythrus,F,95.93,48.83,50.27,37.43,33.19,34.41,
USNM 367908,Chlorocebus pygerythrus,pygerythrus,F,97.86,47.37,49.44,37.69,35.62,29.88,
USNM 367904,Chlorocebus pygerythrus,pygerythrus,F,94.33,45.66,46.00,38.30,33.33,31.36,
USNM 367885,Chlorocebus pygerythrus,pygerythrus,M,108.17,57.37,47.35,49.46,39.34,33.21,
USNM 367889,Chlorocebus pygerythrus,pygerythrus,F,93.58,47.74,50.97,33.90,33.12,31.98, 
USNM 367884,Chlorocebus pygerythrus,pygerythrus,F,96.64,47.73,48.34,36.07,32.93,30.91,
USNM 367898,Chlorocebus pygerythrus,pygerythrus,M,107.85,58.48,51.12,44.92,37.86,33.11,
USNM 367899,Chlorocebus pygerythrus,pygerythrus,M,112.66,57.74,52.92,46.40,43.89,33.89,
USNM 452610,Chlorocebus pygerythrus,pygerythrus,M,96.07,47.98,47.28,37.54,34.88,28.87,
USNM 452605,Chlorocebus pygerythrus,pygerythrus,F,98.73,47.93,48.02,38.71,34.45,31.29,frontonasal suture partially obliterated
USNM 452611,Chlorocebus pygerythrus,pygerythrus,M,101.07,56.86,50.33,43.57,35.27,32.23,
USNM 452606,Chlorocebus pygerythrus,pygerythrus,M,117.52,59.69,54.10,50.48,42.64,33.82,
USNM 452601,Chlorocebus pygerythrus,pygerythrus,F,91.59,48.44,44.78,35.10,30.55,29.26,
USNM 469905,Chlorocebus pygerythrus,pygerythrus,M,105.33,54.90,49.93,44.80,39.88,31.38,
USNM 197160,Chlorocebus pygerythrus,pygerythrus,M,106.03,51.77,49.16,43.24,39.60,31.86,
USNM 469934,Chlorocebus pygerythrus,pygerythrus,M,111.24,55.69,51.74,47.82,41.40,32.22,
USNM 469937,Chlorocebus pygerythrus,pygerythrus,M,107.69,58.20,50.03,43.58,39.15,31.96,
USNM 182161,Chlorocebus pygerythrus,hilgerti,M,92.68,48.98,45.62,36.09,34.35,29.34,
USNM 220376,Lophocebus albigena,albigena,F,110.68,56.22,50.61,42.99,40.32,33.00,
USNM 452502,Lophocebus albigena,johnstoni,M,131.81,57.76,59.13,56.91,55.63,38.73,
USNM 452498,Lophocebus albigena,johnstoni,F,111.90,55.58,51.52,49.36,42.04,34.75,
USNM 164578,Lophocebus albigena,johnstoni,F,107.56,51.87,53.10,41.98,39.25,30.98,
USNM 452503,Lophocebus albigena,johnstoni,M,109.67,49.62,54.87,40.04,44.07,31.84,
USNM 220086,Lophocebus albigena,albigena,M,119.66,59.90,53.63,50.59,45.41,34.16,
USNM 220094,Lophocebus albigena,albigena,M,131.34,65.87,60.26,61.96,53.48,37.31,
